RedJade Code,Green,Grassy,Cucumber,Tomato,Hay,Herbal,Mint,Woody,Pine,Floral,Jasmine,Rose,Honey,Fruity,Citrus,Lemon,Orange,Tropical,Berry,Peach,Apple,Sour,Fermented,Alcoholic,Winey,Rummy,Caramellic,Vanilla,Spicy,Coffee,Smoky,Roasted,Meaty,Nutty,Fatty,Coconut,Waxy,Dairy,Buttery,Cheesy,Sulfurous,Garlic,Earthy,Musty,Animal,Musk,Powdery,Sweet,Cooling,Sharp,Medicinal,Camphoreous,Metallic,Ozone,Fishy
ZHN,0.5969,0.014,0.0545,0.002,0.006,0.1529,0.016,0.042,0.016,0.2453,0.006,0.16,0.01,0.4454,0.196,0.0109,0.162,0.06,0.024,0.01,0.086,0.006,0.054,0.09,0.044,0.022,0.008,0.002,0.038,0.002,0.0,0.01,0.024,0.042,0.2808,0.034,0.2504,0.064,0.006,0.0791,0.04,0.006,0.112,0.094,0.002,0.0,0.01,0.2728,0.006,0.022,0.0,0.004,0.01,0.022,0.0141
JKT,0.2099,0.0,0.006,0.002,0.006,0.12,0.024,0.078,0.008,0.2298,0.034,0.096,0.04,0.6,0.036,0.002,0.01,0.0959,0.06,0.032,0.0799,0.056,0.038,0.006,0.09,0.01,0.05,0.038,0.112,0.02,0.01,0.026,0.008,0.034,0.11,0.014,0.052,0.034,0.082,0.042,0.012,0.006,0.038,0.02,0.01,0.014,0.048,0.3743,0.002,0.008,0.006,0.004,0.016,0.004,0.002
GUG,0.2443,0.03,0.008,0.008,0.036,0.1299,0.1308,0.1607,0.0459,0.1661,0.01,0.032,0.042,0.129,0.111,0.036,0.0001,0.05,0.0088,0.018,0.008,0.002,0.01,0.002,0.006,0.008,0.034,0.012,0.1079,0.048,0.03,0.1723,0.108,0.1497,0.054,0.008,0.018,0.02,0.008,0.014,0.1257,0.0256,0.1098,0.0736,0.05,0.0042,0.02,0.1965,0.0201,0.0219,0.06,0.0644,0.024,0.004,0.028
PTF,0.434,0.022,0.006,0.014,0.008,0.0607,0.026,0.0362,0.006,0.062,0.082,0.032,0.02,0.658,0.034,0.004,0.006,0.156,0.018,0.006,0.192,0.028,0.052,0.066,0.072,0.058,0.0647,0.008,0.054,0.008,0.004,0.042,0.0231,0.092,0.046,0.0138,0.024,0.016,0.026,0.03,0.0671,0.006,0.038,0.038,0.01,0.002,0.01,0.414,0.004,0.042,0.004,0.004,0.01,0.01,0.01
OHF,0.2097,0.002,0.0,0.0,0.008,0.0877,0.008,0.0521,0.0,0.1978,0.036,0.086,0.02,0.6764,0.018,0.0,0.008,0.092,0.0102,0.0481,0.072,0.0358,0.2,0.002,0.174,0.006,0.04,0.008,0.0579,0.016,0.002,0.002,0.002,0.002,0.23,0.004,0.118,0.036,0.076,0.034,0.006,0.0,0.016,0.01,0.016,0.016,0.014,0.3001,0.004,0.002,0.002,0.0,0.0179,0.0,0.0
MAR,0.324,0.008,0.01,0.002,0.01,0.046,0.014,0.0419,0.0,0.092,0.006,0.022,0.028,0.7149,0.0277,0.002,0.01,0.152,0.0788,0.006,0.2283,0.0184,0.076,0.014,0.1023,0.1114,0.172,0.014,0.036,0.008,0.006,0.04,0.05,0.036,0.0852,0.01,0.056,0.044,0.0379,0.045,0.046,0.008,0.042,0.032,0.014,0.002,0.012,0.3868,0.006,0.04,0.004,0.004,0.0186,0.0,0.008
XCM,0.5114,0.016,0.038,0.004,0.0,0.082,0.008,0.0718,0.01,0.2278,0.022,0.126,0.024,0.5259,0.1515,0.01,0.0939,0.0816,0.006,0.0557,0.114,0.01,0.06,0.112,0.12,0.038,0.01,0.012,0.038,0.01,0.002,0.012,0.016,0.064,0.2977,0.036,0.308,0.038,0.018,0.006,0.016,0.002,0.072,0.018,0.012,0.024,0.006,0.2805,0.002,0.004,0.0,0.002,0.0257,0.012,0.018
DIJ,0.2637,0.014,0.01,0.004,0.014,0.0995,0.038,0.0893,0.016,0.2044,0.0356,0.06,0.044,0.565,0.0381,0.002,0.004,0.088,0.0516,0.0242,0.118,0.03,0.062,0.016,0.1179,0.034,0.078,0.028,0.06,0.014,0.01,0.032,0.024,0.048,0.102,0.03,0.0862,0.048,0.0882,0.022,0.048,0.006,0.04,0.01,0.012,0.01,0.0327,0.3492,0.0107,0.014,0.006,0.01,0.014,0.004,0.002
XGE,0.2385,0.014,0.006,0.004,0.0172,0.1311,0.1,0.0993,0.008,0.1221,0.002,0.042,0.03,0.236,0.0534,0.01,0.002,0.064,0.004,0.004,0.014,0.0186,0.054,0.022,0.012,0.0135,0.062,0.008,0.1144,0.036,0.066,0.0965,0.046,0.0999,0.0701,0.02,0.008,0.014,0.01,0.0562,0.0644,0.018,0.122,0.0774,0.034,0.008,0.014,0.239,0.024,0.04,0.076,0.0273,0.0302,0.006,0.016
JIC,0.3196,0.008,0.008,0.0,0.014,0.0691,0.014,0.0559,0.002,0.5179,0.0507,0.146,0.058,0.3304,0.052,0.016,0.006,0.03,0.016,0.04,0.026,0.0,0.008,0.014,0.02,0.0259,0.035,0.056,0.1961,0.008,0.014,0.012,0.006,0.012,0.0559,0.03,0.0744,0.026,0.04,0.004,0.01,0.0,0.092,0.028,0.008,0.004,0.028,0.4213,0.002,0.016,0.0068,0.005,0.022,0.016,0.006
SVI,0.206,0.014,0.0,0.002,0.038,0.221,0.078,0.1623,0.0292,0.154,0.008,0.022,0.026,0.138,0.034,0.008,0.012,0.0203,0.0198,0.01,0.008,0.002,0.0,0.002,0.0,0.002,0.019,0.012,0.1547,0.064,0.068,0.14,0.064,0.194,0.036,0.026,0.01,0.008,0.006,0.002,0.038,0.002,0.188,0.106,0.04,0.014,0.0537,0.2202,0.012,0.014,0.044,0.0602,0.038,0.008,0.01
QZH,0.1519,0.012,0.0019,0.0,0.06,0.0559,0.01,0.0618,0.0,0.166,0.094,0.018,0.102,0.2141,0.012,0.0,0.004,0.014,0.016,0.0,0.024,0.064,0.004,0.002,0.034,0.016,0.104,0.066,0.1539,0.024,0.03,0.066,0.032,0.202,0.068,0.036,0.076,0.016,0.042,0.0154,0.028,0.014,0.064,0.062,0.06,0.004,0.06,0.4072,0.008,0.02,0.046,0.004,0.0966,0.008,0.006
ZEW,0.4296,0.054,0.022,0.0316,0.038,0.1179,0.06,0.1059,0.01,0.146,0.014,0.036,0.038,0.3374,0.0877,0.014,0.008,0.06,0.016,0.008,0.066,0.016,0.018,0.006,0.018,0.012,0.042,0.014,0.144,0.014,0.008,0.044,0.0445,0.072,0.1964,0.03,0.072,0.0379,0.02,0.0545,0.0665,0.028,0.092,0.066,0.022,0.008,0.038,0.2883,0.04,0.036,0.016,0.008,0.0415,0.008,0.0161
HUN,0.2002,0.006,0.01,0.004,0.048,0.062,0.012,0.054,0.002,0.106,0.0,0.0063,0.022,0.4317,0.01,0.0,0.0,0.126,0.0608,0.004,0.072,0.014,0.022,0.002,0.0303,0.06,0.2472,0.034,0.0643,0.042,0.016,0.192,0.082,0.2079,0.0472,0.0199,0.016,0.028,0.052,0.0258,0.0782,0.006,0.102,0.0671,0.018,0.002,0.022,0.3475,0.006,0.018,0.022,0.01,0.01,0.004,0.004
JFU,0.272,0.028,0.0,0.018,0.02,0.0837,0.102,0.094,0.008,0.07,0.006,0.01,0.016,0.4018,0.034,0.006,0.002,0.1,0.038,0.0,0.064,0.036,0.026,0.018,0.016,0.029,0.088,0.008,0.0555,0.026,0.01,0.1,0.088,0.096,0.078,0.018,0.016,0.038,0.06,0.092,0.092,0.008,0.072,0.0775,0.058,0.004,0.02,0.2689,0.012,0.052,0.022,0.018,0.032,0.004,0.0105
LCC,0.1197,0.01,0.002,0.002,0.028,0.0797,0.062,0.1226,0.016,0.2397,0.006,0.018,0.044,0.3149,0.016,0.004,0.024,0.05,0.054,0.01,0.0163,0.006,0.018,0.0,0.044,0.012,0.088,0.18,0.188,0.01,0.084,0.076,0.02,0.076,0.032,0.0434,0.016,0.042,0.024,0.016,0.03,0.008,0.032,0.062,0.006,0.006,0.146,0.512,0.0,0.01,0.046,0.008,0.012,0.0,0.002
MDD,0.154,0.004,0.0,0.0,0.034,0.0592,0.016,0.0922,0.004,0.294,0.022,0.026,0.022,0.2425,0.012,0.0,0.014,0.0273,0.0427,0.008,0.014,0.002,0.0,0.012,0.024,0.016,0.066,0.338,0.2767,0.014,0.096,0.046,0.028,0.038,0.018,0.004,0.006,0.014,0.008,0.0,0.01,0.002,0.018,0.042,0.018,0.0,0.1167,0.5296,0.004,0.012,0.028,0.002,0.046,0.004,0.002
UBT,0.3221,0.014,0.008,0.044,0.002,0.118,0.0794,0.032,0.008,0.2861,0.01,0.028,0.004,0.404,0.0266,0.006,0.006,0.126,0.004,0.0,0.006,0.004,0.008,0.004,0.018,0.002,0.008,0.004,0.0546,0.014,0.008,0.332,0.106,0.072,0.118,0.01,0.026,0.008,0.012,0.0159,0.246,0.0899,0.07,0.036,0.01,0.002,0.002,0.096,0.002,0.014,0.004,0.006,0.05,0.004,0.028
SWE,0.112,0.008,0.002,0.002,0.01,0.05,0.028,0.2579,0.004,0.144,0.004,0.018,0.028,0.168,0.006,0.002,0.002,0.012,0.014,0.002,0.014,0.004,0.004,0.006,0.028,0.008,0.122,0.248,0.242,0.008,0.264,0.094,0.01,0.098,0.014,0.012,0.008,0.014,0.018,0.0,0.01,0.002,0.106,0.056,0.004,0.0,0.222,0.462,0.006,0.004,0.212,0.006,0.01,0.004,0.0
YOP,0.364,0.0,0.0,0.002,0.018,0.086,0.05,0.0797,0.002,0.3465,0.022,0.216,0.04,0.21,0.034,0.008,0.028,0.014,0.022,0.01,0.004,0.0,0.004,0.0,0.0,0.002,0.0156,0.024,0.128,0.012,0.016,0.066,0.042,0.042,0.012,0.004,0.028,0.002,0.006,0.002,0.038,0.016,0.172,0.036,0.03,0.014,0.058,0.2707,0.002,0.002,0.014,0.0084,0.17,0.012,0.012
RSD,0.3186,0.02,0.008,0.004,0.038,0.1467,0.0843,0.152,0.009,0.1519,0.006,0.04,0.012,0.1647,0.026,0.004,0.004,0.0319,0.008,0.008,0.008,0.004,0.004,0.004,0.01,0.0,0.0245,0.038,0.1936,0.038,0.08,0.128,0.0643,0.2148,0.0428,0.006,0.004,0.002,0.008,0.0011,0.0229,0.004,0.228,0.1052,0.014,0.004,0.042,0.2272,0.006,0.0575,0.132,0.0517,0.0177,0.0,0.014
SOE,0.336,0.002,0.0142,0.002,0.014,0.0759,0.0097,0.0616,0.0,0.3122,0.044,0.1003,0.106,0.3619,0.018,0.004,0.01,0.038,0.02,0.014,0.028,0.006,0.014,0.01,0.0263,0.016,0.0511,0.07,0.1251,0.044,0.026,0.08,0.036,0.12,0.0458,0.024,0.0499,0.004,0.022,0.0198,0.04,0.01,0.086,0.026,0.014,0.0,0.028,0.3947,0.002,0.026,0.0194,0.0206,0.036,0.016,0.0
GGG,0.0621,0.002,0.0,0.0,0.146,0.1439,0.018,0.0819,0.004,0.1801,0.008,0.008,0.184,0.206,0.004,0.004,0.0,0.018,0.012,0.0,0.01,0.048,0.004,0.0,0.016,0.006,0.132,0.086,0.172,0.026,0.054,0.084,0.044,0.122,0.032,0.018,0.03,0.008,0.012,0.028,0.026,0.01,0.0341,0.032,0.076,0.002,0.072,0.468,0.006,0.014,0.074,0.008,0.006,0.0,0.002
IZX,0.2722,0.02,0.0,0.01,0.008,0.0759,0.084,0.056,0.008,0.07,0.0,0.014,0.0,0.5021,0.046,0.01,0.004,0.106,0.0361,0.0,0.074,0.056,0.1259,0.086,0.0619,0.0397,0.0354,0.002,0.04,0.004,0.004,0.032,0.054,0.054,0.0839,0.002,0.022,0.056,0.042,0.0979,0.094,0.014,0.068,0.0559,0.02,0.0,0.006,0.244,0.008,0.046,0.008,0.014,0.0142,0.008,0.012
TDI,0.346,0.004,0.0,0.004,0.036,0.13,0.0546,0.1654,0.014,0.2714,0.016,0.082,0.042,0.222,0.054,0.006,0.046,0.052,0.024,0.018,0.012,0.0,0.004,0.002,0.006,0.002,0.012,0.012,0.116,0.006,0.036,0.062,0.042,0.09,0.0298,0.03,0.018,0.012,0.01,0.002,0.036,0.006,0.138,0.0316,0.05,0.016,0.046,0.2705,0.0044,0.006,0.0311,0.0274,0.078,0.016,0.006
HLX,0.2388,0.0105,0.002,0.01,0.026,0.0465,0.02,0.0453,0.002,0.2146,0.01,0.054,0.0316,0.142,0.0129,0.002,0.008,0.036,0.01,0.006,0.0111,0.014,0.02,0.004,0.0071,0.0015,0.058,0.036,0.1515,0.104,0.05,0.2183,0.162,0.1757,0.0686,0.014,0.032,0.01,0.014,0.008,0.2077,0.098,0.0706,0.0225,0.0105,0.002,0.066,0.2952,0.002,0.016,0.026,0.004,0.0364,0.02,0.01
MMA,0.2521,0.0,0.002,0.0,0.008,0.1195,0.028,0.0979,0.01,0.2902,0.0381,0.0704,0.046,0.6957,0.0516,0.004,0.026,0.0683,0.052,0.022,0.158,0.036,0.048,0.014,0.142,0.032,0.052,0.01,0.0743,0.004,0.0,0.014,0.008,0.022,0.074,0.004,0.066,0.022,0.06,0.036,0.014,0.0,0.012,0.022,0.006,0.0143,0.04,0.3617,0.022,0.004,0.002,0.004,0.036,0.002,0.0
AUC,0.1799,0.004,0.002,0.0,0.016,0.0623,0.01,0.034,0.0,0.3519,0.026,0.066,0.128,0.3944,0.004,0.0,0.004,0.026,0.038,0.0124,0.0241,0.04,0.008,0.01,0.024,0.014,0.128,0.116,0.144,0.034,0.032,0.014,0.006,0.042,0.068,0.016,0.0315,0.04,0.0464,0.014,0.008,0.002,0.04,0.024,0.014,0.008,0.07,0.632,0.004,0.008,0.012,0.0,0.006,0.012,0.002
BDW,0.4081,0.006,0.02,0.0,0.014,0.0705,0.016,0.078,0.004,0.208,0.032,0.032,0.034,0.4753,0.014,0.004,0.006,0.12,0.024,0.0305,0.096,0.002,0.042,0.014,0.06,0.026,0.058,0.038,0.064,0.012,0.014,0.074,0.048,0.12,0.114,0.056,0.0654,0.028,0.0304,0.044,0.036,0.008,0.104,0.048,0.014,0.0,0.012,0.3,0.006,0.03,0.006,0.008,0.0199,0.006,0.01
JJH,0.272,0.0,0.004,0.006,0.018,0.1899,0.034,0.154,0.006,0.43,0.074,0.104,0.09,0.4841,0.0561,0.0,0.04,0.04,0.112,0.018,0.03,0.01,0.02,0.006,0.058,0.008,0.026,0.072,0.106,0.006,0.03,0.028,0.016,0.038,0.01,0.006,0.026,0.02,0.016,0.008,0.022,0.004,0.026,0.024,0.04,0.004,0.094,0.494,0.004,0.006,0.02,0.002,0.036,0.012,0.004
KLW,0.2122,0.016,0.0,0.006,0.032,0.2224,0.3196,0.3651,0.1972,0.1601,0.018,0.09,0.018,0.192,0.058,0.03,0.002,0.044,0.006,0.012,0.008,0.004,0.024,0.002,0.0,0.012,0.008,0.006,0.078,0.008,0.008,0.0203,0.022,0.0397,0.022,0.0254,0.022,0.018,0.01,0.01,0.0437,0.004,0.0928,0.0537,0.016,0.01,0.014,0.2664,0.0351,0.0101,0.0639,0.2094,0.028,0.016,0.002
FKB,0.15,0.008,0.0,0.002,0.188,0.0911,0.0524,0.0972,0.018,0.1534,0.004,0.02,0.176,0.0992,0.018,0.012,0.002,0.016,0.0092,0.004,0.006,0.0,0.002,0.0,0.002,0.0,0.072,0.072,0.2152,0.048,0.098,0.112,0.076,0.268,0.016,0.008,0.0,0.01,0.006,0.002,0.078,0.014,0.096,0.082,0.038,0.002,0.172,0.4517,0.008,0.038,0.0991,0.0258,0.036,0.004,0.018
HXO,0.17,0.012,0.0,0.0219,0.006,0.022,0.024,0.04,0.0,0.036,0.0,0.002,0.01,0.3565,0.004,0.004,0.002,0.074,0.008,0.002,0.042,0.012,0.026,0.022,0.012,0.044,0.084,0.006,0.036,0.076,0.02,0.1885,0.218,0.1651,0.0401,0.002,0.004,0.016,0.044,0.05,0.3628,0.062,0.0792,0.062,0.0,0.0,0.01,0.148,0.0,0.026,0.004,0.002,0.026,0.0,0.042
QNI,0.134,0.002,0.0,0.0,0.104,0.086,0.026,0.1095,0.008,0.21,0.004,0.016,0.092,0.076,0.012,0.0,0.028,0.006,0.004,0.004,0.0,0.0,0.008,0.002,0.004,0.0,0.052,0.092,0.118,0.052,0.05,0.142,0.126,0.258,0.03,0.06,0.006,0.008,0.008,0.002,0.162,0.044,0.0744,0.046,0.046,0.0,0.116,0.4239,0.002,0.01,0.04,0.018,0.012,0.008,0.002
TPN,0.352,0.01,0.004,0.004,0.006,0.15,0.03,0.102,0.004,0.314,0.04,0.138,0.058,0.616,0.104,0.014,0.016,0.086,0.022,0.034,0.148,0.042,0.062,0.024,0.102,0.012,0.044,0.006,0.048,0.008,0.002,0.01,0.012,0.016,0.168,0.016,0.174,0.026,0.032,0.012,0.014,0.002,0.044,0.014,0.036,0.016,0.008,0.274,0.016,0.01,0.002,0.002,0.014,0.004,0.002
HMD,0.2593,0.0,0.032,0.002,0.04,0.0759,0.032,0.0559,0.006,0.1738,0.014,0.022,0.03,0.4896,0.0339,0.0,0.004,0.082,0.032,0.02,0.1101,0.01,0.036,0.012,0.1001,0.022,0.1592,0.04,0.104,0.028,0.028,0.1,0.068,0.1475,0.0713,0.03,0.048,0.012,0.072,0.0206,0.0593,0.012,0.048,0.0383,0.014,0.002,0.024,0.3835,0.006,0.0127,0.006,0.0,0.016,0.006,0.004
WTS,0.134,0.008,0.0,0.008,0.046,0.044,0.1068,0.0828,0.0,0.046,0.0,0.006,0.02,0.2932,0.0181,0.0,0.002,0.024,0.0188,0.008,0.028,0.0174,0.022,0.008,0.022,0.028,0.326,0.008,0.054,0.048,0.012,0.094,0.068,0.14,0.052,0.032,0.014,0.024,0.068,0.0376,0.052,0.022,0.038,0.078,0.016,0.0,0.01,0.4715,0.028,0.028,0.032,0.0292,0.0065,0.0,0.014
CIX,0.384,0.014,0.008,0.01,0.012,0.0998,0.024,0.0802,0.01,0.2043,0.054,0.058,0.036,0.5877,0.0457,0.016,0.018,0.116,0.022,0.1183,0.1,0.004,0.028,0.022,0.074,0.014,0.0478,0.002,0.0641,0.014,0.0,0.04,0.016,0.056,0.136,0.084,0.146,0.034,0.074,0.008,0.032,0.002,0.052,0.03,0.014,0.008,0.002,0.366,0.004,0.002,0.006,0.006,0.028,0.006,0.002
RDB,0.2,0.026,0.002,0.01,0.042,0.142,0.048,0.18,0.016,0.198,0.026,0.032,0.058,0.204,0.022,0.002,0.018,0.03,0.032,0.008,0.016,0.006,0.008,0.0,0.014,0.012,0.07,0.064,0.19,0.026,0.066,0.106,0.056,0.126,0.026,0.034,0.006,0.008,0.01,0.004,0.034,0.002,0.1,0.064,0.032,0.006,0.076,0.3291,0.006,0.014,0.07,0.048,0.016,0.008,0.004
OLM,0.2,0.008,0.002,0.006,0.03,0.1579,0.1348,0.1614,0.038,0.2,0.014,0.034,0.114,0.1188,0.046,0.014,0.01,0.026,0.0008,0.006,0.004,0.0,0.006,0.0,0.004,0.004,0.01,0.008,0.12,0.04,0.046,0.098,0.082,0.1,0.02,0.0174,0.012,0.002,0.008,0.008,0.03,0.004,0.19,0.095,0.204,0.006,0.024,0.2596,0.012,0.01,0.08,0.0912,0.032,0.008,0.026
AYC,0.34,0.014,0.004,0.006,0.02,0.1578,0.066,0.2559,0.034,0.298,0.018,0.0627,0.014,0.2479,0.1039,0.026,0.016,0.1007,0.042,0.02,0.014,0.014,0.004,0.002,0.0,0.004,0.006,0.008,0.174,0.016,0.014,0.048,0.062,0.082,0.054,0.02,0.042,0.012,0.012,0.01,0.124,0.018,0.1121,0.03,0.016,0.008,0.042,0.24,0.006,0.0199,0.02,0.0401,0.04,0.018,0.002
FSV,0.3199,0.002,0.008,0.002,0.02,0.0777,0.008,0.0545,0.0,0.4289,0.04,0.144,0.1,0.6,0.028,0.004,0.0075,0.068,0.016,0.038,0.074,0.008,0.01,0.002,0.0699,0.0179,0.008,0.01,0.1342,0.012,0.0,0.022,0.01,0.02,0.0625,0.004,0.0765,0.004,0.014,0.0,0.016,0.008,0.03,0.028,0.03,0.006,0.012,0.4703,0.002,0.0,0.006,0.0,0.0277,0.008,0.008
CLB,0.1931,0.016,0.0,0.016,0.02,0.0814,0.2574,0.106,0.0101,0.068,0.012,0.022,0.018,0.2581,0.0309,0.008,0.0,0.024,0.02,0.01,0.018,0.008,0.018,0.002,0.008,0.026,0.176,0.004,0.0847,0.06,0.024,0.1448,0.09,0.1292,0.062,0.032,0.01,0.018,0.024,0.032,0.0892,0.028,0.0592,0.106,0.034,0.004,0.014,0.2995,0.0924,0.0331,0.084,0.098,0.02,0.004,0.018
QGE,0.088,0.008,0.004,0.002,0.132,0.086,0.02,0.0959,0.0,0.2442,0.008,0.008,0.12,0.1678,0.004,0.002,0.03,0.014,0.018,0.008,0.006,0.01,0.014,0.0,0.004,0.0,0.0964,0.12,0.1742,0.048,0.042,0.094,0.042,0.172,0.02,0.056,0.026,0.024,0.024,0.0038,0.05,0.018,0.0482,0.0482,0.046,0.006,0.12,0.58,0.002,0.004,0.05,0.0096,0.0098,0.004,0.004
FGW,0.126,0.006,0.002,0.01,0.052,0.026,0.01,0.054,0.004,0.09,0.002,0.02,0.022,0.123,0.01,0.002,0.0,0.026,0.008,0.004,0.004,0.008,0.01,0.016,0.01,0.012,0.1447,0.07,0.076,0.196,0.084,0.27,0.246,0.328,0.056,0.032,0.02,0.02,0.024,0.008,0.252,0.034,0.102,0.0878,0.006,0.0,0.082,0.3018,0.012,0.006,0.03,0.002,0.018,0.008,0.02
LBZ,0.1992,0.012,0.006,0.008,0.038,0.0962,0.1103,0.1378,0.0497,0.152,0.004,0.05,0.024,0.1268,0.1138,0.056,0.0,0.0381,0.006,0.014,0.002,0.0,0.01,0.002,0.006,0.018,0.062,0.01,0.079,0.028,0.028,0.1168,0.124,0.0911,0.052,0.008,0.028,0.016,0.008,0.01,0.1172,0.062,0.1017,0.066,0.046,0.002,0.016,0.1979,0.056,0.0259,0.048,0.0831,0.032,0.002,0.03
FLP,0.098,0.006,0.002,0.004,0.042,0.0659,0.028,0.1357,0.006,0.27,0.004,0.014,0.058,0.126,0.008,0.004,0.124,0.008,0.008,0.0,0.004,0.006,0.01,0.002,0.008,0.002,0.036,0.112,0.1823,0.036,0.07,0.08,0.038,0.086,0.034,0.098,0.002,0.006,0.012,0.002,0.034,0.004,0.0639,0.0421,0.026,0.006,0.16,0.442,0.002,0.004,0.064,0.006,0.016,0.006,0.008
ZDX,0.2668,0.01,0.006,0.006,0.02,0.1029,0.1167,0.096,0.0117,0.084,0.012,0.018,0.028,0.3048,0.058,0.008,0.006,0.0803,0.016,0.002,0.038,0.004,0.026,0.032,0.018,0.016,0.1193,0.002,0.0975,0.038,0.02,0.1299,0.092,0.1613,0.0593,0.024,0.022,0.022,0.032,0.016,0.0899,0.0092,0.096,0.0955,0.02,0.004,0.012,0.2162,0.026,0.0307,0.01,0.0256,0.016,0.004,0.0205
DQI,0.2931,0.004,0.006,0.006,0.006,0.074,0.054,0.092,0.008,0.202,0.022,0.06,0.03,0.3191,0.0129,0.004,0.008,0.064,0.02,0.008,0.032,0.02,0.036,0.006,0.024,0.026,0.04,0.03,0.088,0.062,0.048,0.176,0.076,0.184,0.044,0.038,0.042,0.03,0.042,0.026,0.03,0.008,0.1999,0.0701,0.032,0.0,0.018,0.3171,0.006,0.0171,0.02,0.014,0.026,0.006,0.006
CGJ,0.328,0.046,0.002,0.008,0.0671,0.2329,0.2505,0.2428,0.0382,0.1574,0.014,0.062,0.148,0.3447,0.09,0.022,0.002,0.102,0.0304,0.016,0.046,0.032,0.018,0.01,0.0131,0.01,0.028,0.004,0.0753,0.012,0.012,0.0345,0.06,0.0435,0.026,0.004,0.012,0.018,0.02,0.0159,0.0775,0.0,0.0735,0.136,0.022,0.01,0.0176,0.358,0.136,0.09,0.028,0.1732,0.014,0.004,0.004
QBM,0.2424,0.008,0.008,0.01,0.012,0.0795,0.0275,0.0685,0.004,0.3537,0.02,0.094,0.046,0.2254,0.042,0.012,0.008,0.0338,0.006,0.0063,0.0143,0.01,0.01,0.002,0.02,0.008,0.02,0.032,0.1418,0.008,0.032,0.032,0.0551,0.048,0.0502,0.014,0.0397,0.02,0.0143,0.014,0.0331,0.0126,0.066,0.02,0.014,0.006,0.038,0.3988,0.008,0.02,0.034,0.018,0.0138,0.008,0.024
DSF,0.0813,0.008,0.0,0.0038,0.014,0.0559,0.038,0.086,0.002,0.0231,0.002,0.002,0.018,0.3049,0.002,0.002,0.0,0.04,0.008,0.0,0.026,0.0376,0.012,0.012,0.01,0.0529,0.3343,0.008,0.06,0.042,0.008,0.0531,0.032,0.1166,0.0542,0.004,0.008,0.03,0.124,0.0762,0.0563,0.006,0.0491,0.0433,0.0,0.0,0.008,0.2382,0.004,0.038,0.022,0.0037,0.0031,0.0,0.0
ASY,0.1689,0.028,0.002,0.008,0.036,0.016,0.008,0.118,0.0,0.0585,0.004,0.012,0.018,0.0845,0.0045,0.0,0.0,0.014,0.004,0.002,0.008,0.014,0.026,0.002,0.016,0.002,0.104,0.036,0.134,0.088,0.094,0.234,0.072,0.332,0.0315,0.016,0.006,0.006,0.014,0.0031,0.1029,0.03,0.046,0.1069,0.018,0.0,0.024,0.4031,0.014,0.052,0.064,0.0,0.014,0.002,0.064
XQA,0.376,0.052,0.0063,0.0,0.08,0.22,0.2074,0.2239,0.0286,0.114,0.01,0.048,0.13,0.352,0.08,0.01,0.014,0.108,0.026,0.012,0.042,0.022,0.022,0.026,0.014,0.0173,0.026,0.0,0.066,0.014,0.008,0.0284,0.034,0.0536,0.0637,0.004,0.022,0.012,0.014,0.012,0.0636,0.008,0.1057,0.102,0.008,0.0141,0.008,0.3128,0.078,0.0919,0.02,0.1381,0.032,0.004,0.014
GXK,0.184,0.0,0.002,0.0,0.0194,0.0963,0.022,0.0881,0.004,0.387,0.042,0.0819,0.062,0.497,0.032,0.0,0.012,0.046,0.098,0.006,0.04,0.008,0.006,0.006,0.0314,0.006,0.038,0.06,0.2017,0.008,0.03,0.04,0.034,0.02,0.026,0.0,0.026,0.004,0.032,0.01,0.004,0.002,0.032,0.032,0.01,0.004,0.041,0.477,0.004,0.01,0.002,0.002,0.0139,0.008,0.0
YOI,0.1058,0.002,0.0,0.0,0.03,0.0655,0.01,0.074,0.002,0.271,0.008,0.028,0.038,0.3767,0.01,0.0017,0.002,0.062,0.068,0.03,0.0185,0.004,0.008,0.006,0.03,0.012,0.092,0.282,0.212,0.016,0.046,0.04,0.014,0.042,0.032,0.01,0.016,0.018,0.034,0.002,0.012,0.002,0.014,0.022,0.012,0.002,0.1686,0.5105,0.002,0.004,0.008,0.0,0.06,0.0103,0.0
GRO,0.13,0.008,0.0,0.002,0.028,0.066,0.038,0.1119,0.002,0.162,0.004,0.018,0.034,0.334,0.01,0.0,0.016,0.056,0.034,0.002,0.024,0.02,0.024,0.006,0.064,0.024,0.136,0.082,0.132,0.044,0.108,0.18,0.068,0.1959,0.026,0.018,0.016,0.022,0.016,0.002,0.0221,0.002,0.106,0.11,0.02,0.002,0.092,0.318,0.0,0.002,0.102,0.006,0.008,0.0,0.002
UUA,0.2341,0.008,0.0,0.0,0.012,0.2806,0.1519,0.5049,0.1455,0.1749,0.01,0.03,0.01,0.256,0.048,0.002,0.002,0.082,0.016,0.01,0.03,0.004,0.002,0.0,0.0,0.012,0.014,0.008,0.0985,0.012,0.006,0.02,0.018,0.038,0.0269,0.022,0.014,0.016,0.008,0.0,0.028,0.0,0.1834,0.0372,0.0246,0.024,0.0258,0.1749,0.012,0.002,0.028,0.1232,0.008,0.08,0.0
